ensembl_gene_id	description	strand	external_gene_name	gene_biotype
ENSG00000006377	ENSG00000006377	distal-less homeobox 6 [Source:HGNC Symbol;Acc:HGNC:2919]	1	DLX6	protein_coding
ENSG00000010361	ENSG00000010361	fuzzy planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:26219]	-1	FUZ	protein_coding
ENSG00000010438	ENSG00000010438	serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]	1	PRSS3	protein_coding
ENSG00000036054	ENSG00000036054	TBC1 domain family member 23 [Source:HGNC Symbol;Acc:HGNC:25622]	1	TBC1D23	protein_coding
ENSG00000047249	ENSG00000047249	ATPase H+ transporting V1 subunit H [Source:HGNC Symbol;Acc:HGNC:18303]	-1	ATP6V1H	protein_coding
ENSG00000056998	ENSG00000056998	glycogenin 2 [Source:HGNC Symbol;Acc:HGNC:4700]	1	GYG2	protein_coding
ENSG00000065882	ENSG00000065882	TBC1 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:11578]	1	TBC1D1	protein_coding
ENSG00000066117	ENSG00000066117	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1 [Source:HGNC Symbol;Acc:HGNC:11106]	1	SMARCD1	protein_coding
ENSG00000087274	ENSG00000087274	adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]	1	ADD1	protein_coding
ENSG00000087510	ENSG00000087510	transcription factor AP-2 gamma [Source:HGNC Symbol;Acc:HGNC:11744]	1	TFAP2C	protein_coding
ENSG00000095203	ENSG00000095203	erythrocyte membrane protein band 4.1 like 4B [Source:HGNC Symbol;Acc:HGNC:19818]	-1	EPB41L4B	protein_coding
ENSG00000099282	ENSG00000099282	tetraspanin 15 [Source:HGNC Symbol;Acc:HGNC:23298]	1	TSPAN15	protein_coding
ENSG00000100036	ENSG00000100036	solute carrier family 35 member E4 [Source:HGNC Symbol;Acc:HGNC:17058]	1	SLC35E4	protein_coding
ENSG00000100150	ENSG00000100150	DEP domain containing 5 [Source:HGNC Symbol;Acc:HGNC:18423]	1	DEPDC5	protein_coding
ENSG00000101577	ENSG00000101577	lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450]	-1	LPIN2	protein_coding
ENSG00000101842	ENSG00000101842	V-set and immunoglobulin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28675]	1	VSIG1	protein_coding
ENSG00000102977	ENSG00000102977	ACD shelterin complex subunit and telomerase recruitment factor [Source:HGNC Symbol;Acc:HGNC:25070]	-1	ACD	protein_coding
ENSG00000103740	ENSG00000103740	acyl-CoA synthetase bubblegum family member 1 [Source:HGNC Symbol;Acc:HGNC:29567]	-1	ACSBG1	protein_coding
ENSG00000104804	ENSG00000104804	tubby like protein 2 [Source:HGNC Symbol;Acc:HGNC:12424]	-1	TULP2	protein_coding
ENSG00000110063	ENSG00000110063	decapping enzyme, scavenger [Source:HGNC Symbol;Acc:HGNC:29812]	1	DCPS	protein_coding
ENSG00000111319	ENSG00000111319	sodium channel epithelial 1 alpha subunit [Source:HGNC Symbol;Acc:HGNC:10599]	-1	SCNN1A	protein_coding
ENSG00000114026	ENSG00000114026	8-oxoguanine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:8125]	1	OGG1	protein_coding
ENSG00000114120	ENSG00000114120	solute carrier family 25 member 36 [Source:HGNC Symbol;Acc:HGNC:25554]	1	SLC25A36	protein_coding
ENSG00000114315	ENSG00000114315	hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]	1	HES1	protein_coding
ENSG00000115365	ENSG00000115365	LanC like 1 [Source:HGNC Symbol;Acc:HGNC:6508]	-1	LANCL1	protein_coding
ENSG00000116685	ENSG00000116685	KIAA2013 [Source:HGNC Symbol;Acc:HGNC:28513]	-1	KIAA2013	protein_coding
ENSG00000117593	ENSG00000117593	aspartyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25538]	1	DARS2	protein_coding
ENSG00000120868	ENSG00000120868	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]	1	APAF1	protein_coding
ENSG00000120907	ENSG00000120907	adrenoceptor alpha 1A [Source:HGNC Symbol;Acc:HGNC:277]	-1	ADRA1A	protein_coding
ENSG00000121413	ENSG00000121413	zinc finger and SCAN domain containing 18 [Source:HGNC Symbol;Acc:HGNC:21037]	-1	ZSCAN18	protein_coding
ENSG00000122406	ENSG00000122406	ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]	1	RPL5	protein_coding
ENSG00000123388	ENSG00000123388	homeobox C11 [Source:HGNC Symbol;Acc:HGNC:5123]	1	HOXC11	protein_coding
ENSG00000123500	ENSG00000123500	collagen type X alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2185]	-1	COL10A1	protein_coding
ENSG00000124126	ENSG00000124126	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:32594]	-1	PREX1	protein_coding
ENSG00000124602	ENSG00000124602	unc-5 family C-terminal like [Source:HGNC Symbol;Acc:HGNC:21203]	-1	UNC5CL	protein_coding
ENSG00000128714	ENSG00000128714	homeobox D13 [Source:HGNC Symbol;Acc:HGNC:5136]	1	HOXD13	protein_coding
ENSG00000130734	ENSG00000130734	autophagy related 4D cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:20789]	1	ATG4D	protein_coding
ENSG00000132429	ENSG00000132429	popeye domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17649]	-1	POPDC3	protein_coding
ENSG00000132432	ENSG00000132432	Sec61 translocon gamma subunit [Source:HGNC Symbol;Acc:HGNC:18277]	-1	SEC61G	protein_coding
ENSG00000132518	ENSG00000132518	guanylate cyclase 2D, retinal [Source:HGNC Symbol;Acc:HGNC:4689]	1	GUCY2D	protein_coding
ENSG00000132911	ENSG00000132911	neuromedin U receptor 2 [Source:HGNC Symbol;Acc:HGNC:16454]	-1	NMUR2	protein_coding
ENSG00000133422	ENSG00000133422	MORC family CW-type zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:23573]	-1	MORC2	protein_coding
ENSG00000134588	ENSG00000134588	ubiquitin specific peptidase 26 [Source:HGNC Symbol;Acc:HGNC:13485]	-1	USP26	protein_coding
ENSG00000135272	ENSG00000135272	MyoD family inhibitor domain containing [Source:HGNC Symbol;Acc:HGNC:28870]	1	MDFIC	protein_coding
ENSG00000136450	ENSG00000136450	serine and arginine rich splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:10780]	-1	SRSF1	protein_coding
ENSG00000138382	ENSG00000138382	methyltransferase like 5 [Source:HGNC Symbol;Acc:HGNC:25006]	-1	METTL5	protein_coding
ENSG00000142513	ENSG00000142513	acid phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:14376]	1	ACP4	protein_coding
ENSG00000142530	ENSG00000142530	family with sequence similarity 71 member E1 [Source:NCBI gene;Acc:112703]	-1	AC020909.1	protein_coding
ENSG00000143373	ENSG00000143373	zinc finger protein 687 [Source:HGNC Symbol;Acc:HGNC:29277]	1	ZNF687	protein_coding
ENSG00000143412	ENSG00000143412	annexin A9 [Source:HGNC Symbol;Acc:HGNC:547]	1	ANXA9	protein_coding
ENSG00000143590	ENSG00000143590	ephrin A3 [Source:HGNC Symbol;Acc:HGNC:3223]	1	EFNA3	protein_coding
ENSG00000145725	ENSG00000145725	diphosphoinositol pentakisphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:29035]	1	PPIP5K2	protein_coding
ENSG00000146215	ENSG00000146215	cysteine rich protein 3 [Source:HGNC Symbol;Acc:HGNC:17751]	-1	CRIP3	protein_coding
ENSG00000146267	ENSG00000146267	failed axon connections homolog, metaxin like GST domain containing [Source:HGNC Symbol;Acc:HGNC:20742]	-1	FAXC	protein_coding
ENSG00000149091	ENSG00000149091	diacylglycerol kinase zeta [Source:HGNC Symbol;Acc:HGNC:2857]	1	DGKZ	protein_coding
ENSG00000151006	ENSG00000151006	serine protease 53 [Source:HGNC Symbol;Acc:HGNC:34407]	-1	PRSS53	protein_coding
ENSG00000151503	ENSG00000151503	non-SMC condensin II complex subunit D3 [Source:HGNC Symbol;Acc:HGNC:28952]	-1	NCAPD3	protein_coding
ENSG00000152465	ENSG00000152465	N-myristoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:7858]	-1	NMT2	protein_coding
ENSG00000153093	ENSG00000153093	acyl-CoA oxidase like [Source:HGNC Symbol;Acc:HGNC:25621]	1	ACOXL	protein_coding
